StartDate,StartTime,EndDate,EndTime,HoursAsleep,SleepQuality
"2019-10-19 00:00:00","12:58 AM","2019-10-19 00:00:00","11:58 AM",10.924,100%
"2020-12-31 00:00:00","11:49 PM","2021-01-01 00:00:00","10:13 AM",10.188,100%
"2021-01-09 00:00:00","11:51 PM","2021-01-10 00:00:00","10:26 AM",10.12,95%
"2019-12-31 00:00:00","11:20 PM","2020-01-01 00:00:00","9:46 AM",9.761,86%
"2020-04-21 00:00:00","8:01 PM","2020-04-22 00:00:00","5:51 AM",9.514,98%
"2021-11-22 00:00:00","11:32 PM","2021-11-23 00:00:00","9:31 AM",9.496,100%
"2021-11-07 00:00:00","1:34 AM","2021-11-07 00:00:00","10:15 AM",9.477,96%
"2021-10-01 00:00:00","12:06 AM","2021-10-01 00:00:00","10:43 AM",9.442,92%
"2021-01-23 00:00:00","11:18 PM","2021-01-24 00:00:00","9:03 AM",9.36,100%
"2021-12-18 00:00:00","12:43 AM","2021-12-18 00:00:00","10:13 AM",9.311,100%
